,beer,rec_beer,distance
62,748591,708686,2.457641145488902
63,748613,748613,0.0
64,748613,814374,2.0
65,748613,764554,2.0
66,748613,634182,2.0615528128088303
67,748613,179028,2.0615528128088303
68,748613,906974,2.0880613017821097
69,748613,252000,2.1931712199461315
70,748613,229310,2.1931712199461315
71,748613,784135,2.23606797749979
72,764554,229310,1.6763054614240216
73,764554,252000,1.6763054614240216
74,764554,748613,2.0
75,764554,622701,2.0
76,764554,553454,2.0
77,764554,906973,2.0
78,764554,718172,2.002498439450078
79,764554,748591,2.009975124224179
80,764554,500620,2.009975124224179
81,784135,906974,1.469693845669908
82,784135,229310,2.002498439450078
83,784135,252000,2.002498439450078
84,784135,552713,2.0099751242241797
85,784135,634182,2.0615528128088303
86,784135,613981,2.154065922853802
87,784135,899802,2.154065922853802
88,784135,748613,2.23606797749979
89,784135,764554,2.23606797749979
90,814374,748613,2.0
91,814374,906973,2.0
92,814374,550283,2.449489742783178
93,814374,622701,2.449489742783178
94,814374,708686,2.449489742783178
95,814374,553454,2.449489742783178
96,814374,12775,2.449489742783178
97,814374,764554,2.449489742783178
98,814374,718172,2.4515301344262523
99,899802,613981,0.0
100,899802,135361,2.1189620100417113
101,899802,784135,2.154065922853802
102,899802,229310,2.1931712199461297
103,899802,252000,2.1931712199461297
104,899802,906973,2.28910462845192
105,899802,748613,2.28910462845192
106,899802,906974,2.3323807579381213
107,899802,634182,2.3853720883753122
108,906973,748613,0.0
109,906973,814374,2.0
110,906973,764554,2.0
111,906973,634182,2.0615528128088303
112,906973,179028,2.0615528128088303
113,906973,906974,2.0880613017821097
114,906973,252000,2.1931712199461315
115,906973,229310,2.1931712199461315
116,906973,784135,2.23606797749979
117,906974,784135,1.469693845669908
118,906974,634182,2.002498439450078
119,906974,552713,2.0099751242241797
120,906974,229310,2.0223748416156693
121,906974,252000,2.0223748416156693
122,906974,906973,2.0880613017821097
123,906974,748613,2.0880613017821097
124,906974,764554,2.0880613017821097
125,906974,748591,2.1540659228538024
126,986319,621308,2.449489742783178
127,986319,72025,2.457641145488903
128,986319,730796,2.467792535850614
129,986319,35424,2.467792535850614
130,986319,748591,2.4819347291981715
131,986319,552713,2.5219040425837
132,986319,179028,2.5475478405714
133,986319,229826,2.8284271247461903
134,986319,718172,2.830194339616982
135,252000,229310,1.4142135623730951
136,252000,764554,1.6763054614240216
137,252000,784135,2.002498439450078
138,252000,906974,2.0223748416156693
139,252000,634182,2.039607805437115
140,252000,718172,2.154065922853802
141,252000,613981,2.1931712199461297
142,252000,899802,2.1931712199461297
143,252000,748613,2.1931712199461315
144,268685,124756,2.009975124224178
145,268685,444742,2.0615528128088303
146,268685,221535,2.0615528128088303
147,268685,633978,2.23606797749979
148,268685,143730,3.1622776601683795
149,268685,500620,3.3600595232822883
150,268685,179028,3.4641016151377544
151,268685,730320,3.4641016151377544
152,268685,219102,3.4641016151377544
153,271470,718172,1.4696938456699058
154,271470,553454,1.5
155,271470,622701,1.5
156,271470,550283,1.5
157,271470,12775,1.5
158,271470,500620,1.5779733838059495
159,271470,358361,2.0
160,271470,251,2.0
161,271470,315443,2.0
162,315443,271470,2.0
163,315443,1478,2.0
164,315443,1168,2.0
165,315443,358361,2.0
